gameid,title,developers,publishers,genres,supported_languages,release_date
1238520,Dandelions in the Sky,['Catnip'],"['Catnip', 'Kikai Digital']",['Indie'],"['Simplified Chinese', 'English']",2020-07-21
1238540,Simple LOTO Simulator,"['Patrick Kelley, CIT']","['Kelley Integrity Safety Solutions, LLC', 'Endless Simulations, LLC']",['Simulation'],['English'],2020-03-23
1237670,Anti Air,['PostBeta'],['PostBeta'],"['Action', 'Casual', 'Indie']","['English', 'French', 'German', 'Spanish - Spain', 'Portuguese - Portugal', 'Russian', 'Simplified Chinese']",2020-08-01
1237690,HVOR,"['OFFMONREAL', 'Alex Fedorchenko', 'Andrey Antonov', 'Kirill Fedishin', 'Andrey Zuev']",['OFFMONREAL GAMES'],"['Action', 'Free To Play', 'Indie', 'Massively Multiplayer']","['Russian', 'English']",2020-07-10
1237700,Building the Universe: The Beginning of Time,['TheBeamer LLC'],['TheBeamer LLC'],"['Adventure', 'Indie']",['English'],2020-04-16
1237730,Catlateral Damage: Remeowstered,"['Manekoware', 'Fire Hose Games']",['Manekoware'],"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']",2021-09-15
1237760,The Trud,['Matheus Antônio'],['Matheus Antônio'],"['Adventure', 'Indie']","['English', 'Portuguese - Brazil', 'Spanish - Spain']",2020-05-22
1237780,AREA MAN LIVES,['Numinous Games'],"['Cyan Ventures', 'CityLights']","['Adventure', 'Casual', 'Indie']",['English'],2022-05-12
1237800,Fields of Glory,['Microprose'],['Ziggurat'],"['Simulation', 'Strategy']",['English'],2020-04-28
1237820,Tower Blitz,['GXPlay'],['GXPlay'],"['Casual', 'Indie', 'Strategy']",['English'],2020-05-14
1237840,Blood Relation Part1.,['NolE'],['NolE'],"['Action', 'Adventure', 'Indie']",['English'],2020-03-02
1237870,Boss Rush: Mythology,['Alexey Suslin'],['Alexey Suslin'],"['Action', 'Indie']","['English', 'Russian', 'Turkish', 'Traditional Chinese', 'Simplified Chinese']",2020-07-10
1237880,Red Town,['Dari1168'],['Dari1168'],"['Adventure', 'Indie']",['English'],2020-04-24
1237890,Goomanuvr,"['Forensic Squid', 'Valerie Grindinger', 'Wubs Games']",['Forensic Squid'],"['Action', 'Indie']","['English', 'German', 'French', 'Italian', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Ukrainian', 'Vietnamese']",2022-02-08
1237900,Legion's Crawl 2,['Turnspender'],['Turnspender'],"['Adventure', 'Indie', 'RPG']",['English'],2020-08-30
1237950,STAR WARS™ Battlefront™ II,['DICE'],['Electronic Arts'],"['Action', 'Adventure']","['English', 'French', 'Spanish - Latin America', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Russian', 'Traditional Chinese']",2020-06-11
1237970,Titanfall® 2,['Respawn Entertainment'],['Electronic Arts'],['Action'],"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Portugal', 'Russian', 'Spanish - Latin America', 'Traditional Chinese']",2020-06-18
1237980,STAR WARS™ Battlefront,['DICE'],['Electronic Arts'],"['Action', 'Adventure', 'Strategy']","['English', 'French', 'Italian', 'German', 'Arabic', 'Polish', 'Portuguese - Brazil', 'Russian', 'Spanish - Latin America', 'Traditional Chinese', 'Spanish - Spain']",2020-06-11
1238000,Mass Effect™: Andromeda Deluxe Edition,['BioWare'],['Electronic Arts'],"['Action', 'RPG']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Russian', 'Portuguese - Brazil']",2020-06-11
1238020,Mass Effect™ 3 N7 Digital Deluxe Edition (2012),['BioWare'],['Electronic Arts'],"['Action', 'RPG', 'Strategy']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Russian']",2020-06-11
1238060,Dead Space™ 3,['Visceral Games'],['Electronic Arts'],['Action'],"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian']",2020-06-18
1238080,Burnout™ Paradise Remastered,"['Stellar Entertainment', 'Criterion Games']",['Electronic Arts'],"['Action', 'Adventure', 'Racing']","['English', 'French', 'Spanish - Spain', 'German', 'Japanese', 'Polish', 'Russian']",2020-06-04
1237210,EMPTY,['ShihYuJung'],['SYJstudio'],"['Action', 'Casual', 'Indie']","['English', 'Traditional Chinese']",2020-02-14
1237220,Hentai Thigh,"['GentleDriver', 'Genkung']",['Hentai works'],"['Casual', 'Indie', 'Strategy']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Danish', 'Russian', 'Bulgarian', 'Hungarian', 'Turkish', 'Greek', 'Norwegian', 'Czech', 'Japanese', 'Polish', 'Thai', 'Ukrainian', 'Swedish', 'Simplified Chinese', 'Traditional Chinese', 'Romanian', 'Finnish', 'Dutch', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Spanish - Latin America', 'Vietnamese', 'Arabic', 'Korean']",2020-03-03
1237240,Crypt Of Shadows,['Out Of Focus Games'],['Out Of Focus Games'],"['Action', 'Adventure', 'RPG', 'Strategy']",['English'],2020-03-30
1237260,Evil Cult,['StarInfidel'],['StarInfidel'],"['Indie', 'Strategy']",['English'],2020-05-13
1237310,Rocket Shipment,['Chocolate Pinecone'],['Chocolate Pinecone'],"['Casual', 'Indie']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Traditional Chinese', 'Simplified Chinese', 'Japanese', 'Korean', 'Dutch', 'Russian', 'Turkish', 'Polish']",2023-09-11
1237320,Sonic Frontiers,['Sonic Team'],['SEGA'],"['Action', 'Adventure']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Polish', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Japanese', 'Korean']",2022-11-07
